"a.Country" "X1980" "X1981" "X1982" "X1983" "X1984" "X1985" "X1986" "X1987" "X1988" "X1989" "X1990" "X1991" "X1992" "X1993" "X1994" "X1995" "X1996" "X1997" "X1998" "X1999" "X2000" "X2001" "X2002" "X2003" "X2004" "X2005" "X2006" "X2007" "X2008" "X2009"
"24" "United Kingdom" 613.57 599.33 571.94 577.65 564.16 589.26 595.24 606.73 599.4 612.11 601.82 609.98 577.03 582.62 572.24 560.13 588.85 566.8 561.81 556.89 560.34 572.7 561.68 572.58 583.42 583.06 585.5 569.89 563.88 519.94
"25" "Saudi Arabia" 176.92 175.22 165.57 166.32 184.01 179.22 190.09 191.15 200.25 198.88 208.02 226.46 235.46 232.93 239.93 235.29 250.08 255.12 258.18 264.04 290.54 301.34 311.62 347.26 388.76 405.54 406.14 424.4 455.62 470
"26" "South Africa" 235.03 254.7 272.94 276.58 296.47 302.05 308.73 315.23 319.55 297.99 297.98 310.37 320.19 318.99 347.17 347.47 352.28 383.8 365.33 376.65 386.01 392.72 379.98 412.73 442.2 432.53 444.6 462.9 482.88 450.44
"27" "Mexico" 240.33 266.51 282.14 260.79 279.14 280.7 267.49 277.68 276.85 290.77 302.16 309.8 313.35 316.83 336.39 321.37 332.66 349.4 371.31 363.38 383.05 379.85 384.73 389.79 378.03 397.81 436.95 444.26 452.05 443.61
"28" "Brazil" 185.66 175.22 172.75 163.8 180.87 192.66 212.67 219.16 221.46 226.76 237.33 245.69 237.4 257.97 269.08 289.09 306.68 325.45 324.11 335.71 344.36 348.53 346.62 345.8 355.73 369.74 383.14 365.22 421.6 420.16
"29" "Australia" 198.83 204.62 207.96 218.26 235.42 237.7 234.55 250.93 246.23 261.51 267.6 268.32 274.87 283.29 281.62 289.07 302.31 331.3 337.45 355.34 356.31 370.06 374.59 376.08 387.86 397.22 400.86 410.35 425.34 417.68
"30" "Indonesia" 85.8 91.93 92.44 94.22 98.04 101.35 110.19 117.17 125.39 140.16 155.98 170 180.43 200.02 210.05 214.82 238.5 246.54 240.44 264.92 266.26 272.32 288.61 294.33 307.89 330.61 360.29 388.63 403.74 413.29
"31" "Italy" 371.79 365.74 355.31 346.34 350.67 365.74 371.49 391.83 397.04 412.5 415.41 416.44 415.1 412.2 403.74 431.43 423.49 423.99 440.85 440.58 447.72 444.81 451.83 472.22 468.93 471.89 467.49 459.53 449.75 407.87
"32" "France" 488.92 443.73 423.31 408.54 394.77 396.76 362.82 355.41 340.33 365.2 367.68 392.79 382.07 368.57 361.25 372.54 390.46 384.13 409.44 403.27 401.65 405.64 401.73 408.38 410.91 413.96 416.37 423.06 428.54 396.65
"33" "Spain" 195 205.23 220.94 225.59 210.62 205.04 199.24 201.32 202.17 221.59 224.14 237 241.81 230.62 236.88 243.38 237.38 265.34 275.02 298.67 317.49 322.27 340.03 348.95 369.84 382.9 376.06 387.93 360.13 329.86
"34" "Taiwan" 70.64 63.97 63.31 70.88 81.54 81.59 88.54 91.66 106.22 117.26 118.31 124.34 131.66 150.58 162.11 182.43 197.21 209.22 223.61 225.19 256.13 247.84 273.02 289.01 285.21 288.82 297.08 305.18 301.94 290.88
"35" "Poland" 428.95 386.61 390.17 391.1 408.79 422.04 427.78 440.86 429.85 412.78 333.79 329.41 327.78 338.64 321.85 308.16 344.43 336.56 313.85 326.43 292.56 276.42 274.24 284.79 292.19 287.59 299.15 295.95 294.78 285.79
"36" "Ukraine" NA NA NA NA NA NA NA NA NA NA NA NA 533.08 494.33 413.15 421.45 364.36 342.22 331.34 325.68 324.87 316.74 324.68 355.28 344.66 353.58 333.31 356.81 355.48 255.07
"37" "Thailand" 33.56 34.4 33.14 35.55 39.44 44.55 45.51 51.51 58.99 69.96 83.93 92.92 100.78 114.61 127.99 145.13 170.24 176.78 162.7 171.44 161.75 172.04 187.05 205.67 225.46 241.78 237.22 245.86 253.55 253.38
"38" "Turkey" 68.59 63.12 73.27 78.49 82 93.11 105.7 109.7 103.46 119.96 129.48 137.29 138.06 144.58 139.95 153.19 169.11 182.28 184.13 181.61 201.93 184.18 194.53 206.03 210.47 230.9 250.96 280.19 272.9 253.06
"39" "Netherlands" 201.1 193.27 181.66 174.05 183.91 191.19 195.33 200.68 203.85 203.16 211.12 218.61 212.44 222.16 222.13 222.61 228.07 238.48 237.92 235.52 246.27 261.48 254.19 257.61 264.55 268.48 269.93 258.1 249.5 248.91
"40" "United Arab Emirates" 30.31 35.11 35.72 42.7 47.56 59.31 67.08 71.24 78.22 81.94 79.08 94.6 102.05 95.79 94.41 100.94 103.71 112.07 116.84 118.39 115.72 115.33 123.81 127.14 133.52 139.79 155.33 171.63 195.85 193.43
"41" "Egypt" 40.92 48.92 54.66 64 69.97 75.6 81.84 83.93 83.39 86.09 92.63 94.22 93.8 95.36 98.51 99.24 108.5 112.06 114.89 117.57 119.97 129.3 133.42 143.23 152.81 160.81 152.69 162.31 185.85 192.38
