"a.Country" "X1980" "X1981" "X1982" "X1983" "X1984" "X1985" "X1986" "X1987" "X1988" "X1989" "X1990" "X1991" "X1992" "X1993" "X1994" "X1995" "X1996" "X1997" "X1998" "X1999" "X2000" "X2001" "X2002" "X2003" "X2004" "X2005" "X2006" "X2007" "X2008" "X2009"
"101" "Lithuania" NA NA NA NA NA NA NA NA NA NA NA NA 23.25 17.62 18.48 17.64 15.88 16.34 17.43 13.72 13.27 13.02 13.3 13.59 13.39 15.66 16.55 17.62 18.07 15.75
"102" "Panama" 5.39 5.24 4.73 5.02 4.9 3.61 11.27 11.73 11.3 11.15 11.8 11.83 12.23 12.03 13.54 14.45 12.42 12.78 13.98 13.06 12.94 13.46 12.68 12.61 14.15 13.79 14.88 15.38 15.2 15.46
"103" "Lebanon" 6.44 5.98 5.89 6.17 5.89 6.86 6.95 7.22 6.54 5 4.71 8.21 8.16 10.27 11.77 12.62 13.21 15.32 15.3 16 16.45 15.98 16.02 16.15 15.75 15.04 13.4 12.26 14.32 14.84
"104" "Bolivia" 4.46 4.65 4.08 4.49 4.25 3.78 3.84 3.73 4.18 4.8 5.07 4.93 6.24 6.75 8.15 7.66 7.29 7.96 7.56 8.74 9.26 8.04 9.37 11.7 11.73 11.56 12.81 13.22 14.27 13.89
"105" "Sudan" 3.16 3.24 3.54 3.4 3.12 3.5 4.32 4.18 4.52 4.29 3.89 5.61 5.17 4.92 4.33 4 3.97 4.1 4.13 4.46 6.51 7.47 8.66 9.8 10.76 11.41 12.39 12.06 12.19 13.04
"106" "Sri Lanka" 4.88 4.88 5.07 5.18 5.73 4.81 5.22 5.96 5.23 4.8 5.26 5.28 5.63 6.35 6.68 7.13 8.03 8.94 8.99 9.79 11.33 11.08 11.35 11.72 11.85 12.89 12.74 13.16 12.54 12.76
"107" "Burma" 4.01 4.12 4.54 5.24 5.71 5.98 4.9 4.82 4.57 4.77 4.66 4.59 4.61 4.84 5.82 6.15 6.26 6.9 8.09 8.77 9.01 8.72 9.97 11.05 12.11 15.43 13.92 14.8 13.87 12.54
"108" "Virgin Islands,  U.S." 16.94 15.14 11 7.74 9 10.12 6.65 7.94 5.26 7.77 7.45 7.96 8.34 8.4 8.36 8.55 8.53 8.29 8.75 8.88 9.84 13.64 13.06 14.58 17.66 15.62 16.58 14.75 12.93 12.49
"109" "Jamaica" 7.79 6.7 5.66 6.01 5.01 4.5 4.86 5.22 6.11 7.06 7.54 7.82 8.52 8.63 8.87 9.96 10.08 10.53 10.9 11.22 10.83 10.9 11.15 11.58 11.62 11.24 12.58 13.32 12.7 12.11
"110" "Netherlands Antilles" 15.99 14.79 14.17 13.13 12.44 10.41 10.1 10.39 9.48 9.83 9.74 9.21 9.55 9.25 9.65 11.41 11.41 12.05 12.01 11.71 11.62 11.71 10.79 10.77 10.89 10.82 11.99 12.4 12.13 11.64
"111" "Kenya" 5.75 5.79 5.67 5.5 5.39 5.48 6.21 5.49 6.01 6.57 6.66 5.83 6.56 6.69 7.09 7.18 7.49 6.95 7.86 8.1 8.7 7.97 7.94 8.36 9.21 10.22 11.43 11.38 11.23 11.5
"112" "Guatemala" 4.16 3.61 3.53 3.66 3.22 3.62 3.23 3.24 3.51 3.58 3.78 3.57 4.36 4.79 5.44 6.07 6.31 6.96 8.48 8.69 9.06 10.01 10.27 10.25 10.85 11.54 11.22 12.2 11.46 11.3
"113" "Armenia" NA NA NA NA NA NA NA NA NA NA NA NA 11.14 6.67 6.08 7.34 8.26 7.6 8.02 7.99 8.61 8.78 8.4 9.02 9.18 10.36 10.35 11.33 11.06 11.23
"114" "Zimbabwe" 8.91 8.71 8.17 9.79 9.25 9.65 12.47 14.74 14.97 14.2 15.14 16.15 16.53 15.74 15.32 14.87 14.91 14.03 14.03 15.42 13.72 13.15 12.53 11.23 9.85 10.84 10.03 9.48 8.95 10.61
"115" "Luxembourg" 11.64 10.05 9.41 8.84 9.75 9.78 9.72 9.17 9.66 10.27 10.72 11.36 11.25 11.91 10.98 8.9 9.02 8.64 8.01 8.51 9.02 9.47 10.44 11.03 12.3 12.59 12.47 12.24 11.92 10.58
"116" "Cyprus" 2.83 2.44 2.6 2.88 2.98 3.21 3.57 4.01 4.01 4.88 5.09 5.13 6.04 6.15 6.9 6.77 6.73 6.76 7.27 7.9 7.53 8.19 8.1 8.11 8.6 8.83 9.36 9.29 9.77 9.42
"117" "Latvia" NA NA NA NA NA NA NA NA NA NA NA NA 12.75 9.21 8.76 9.31 9.92 8.51 8.26 7.47 7.38 7.67 7.44 7.87 8.19 8.61 9.32 9.16 7.89 8.53
"118" "Ghana" 2.23 1.95 2.23 1.99 2.27 1.91 2.36 2.72 3.14 3.6 3.03 2.98 3.41 3.5 3.87 3.99 4.1 3.83 3.84 4.47 5.32 5.18 5.46 5.95 6.49 6.53 6.68 6.78 7.4 8.11
"119" "Honduras" 1.7 1.51 1.54 1.64 1.66 1.57 1.73 1.71 1.96 2.37 2.73 2.67 2.74 2.72 3 3.47 3.89 3.83 4.36 4.86 4.58 5.31 5.96 6 7.01 7.27 7.82 8.55 8.13 7.94
"120" "Brunei" 5.24 5.57 5.84 4.86 4.43 5 3.46 5.18 4.63 5.25 4.56 2.28 3.14 2.94 2.9 3.52 3.48 3.67 3.27 3.67 3.79 4.22 4.86 5.18 5.78 6.59 9.86 10.16 10.4 7.58
"121" "Cameroon" 2.23 2.29 2.67 7.2 7.1 6.59 9.39 8.02 3.48 6.53 3.43 3.47 3.59 6.78 7.58 7.54 6.78 6.9 6.89 6.93 6.83 6.47 6.18 6.12 6.47 6.78 7.35 7.82 7.63 7.48
"122" "Mongolia" 7.1 6.35 7.52 7.8 7.93 8.86 9.76 10.27 10.62 10.07 9.58 11.46 9.88 8.93 8.31 8.77 6.55 5.48 5.48 5.46 5.62 5.74 6.13 5.81 6.12 6.41 7.49 7.58 7.65 7.36
"123" "Macedonia" NA NA NA NA NA NA NA NA NA NA NA NA 9.33 9.8 8.98 9.31 9.9 9.82 10.85 9.94 8.42 8.31 8.12 8.37 8.28 8.27 8.28 8.53 9.18 7.34
"124" "Uruguay" 5.76 5.19 4.92 3.89 3.69 3.45 3.45 3.98 4.72 4.88 4.5 4.24 4.52 4.95 4.66 4.66 4.95 5.23 6.4 7.27 6.52 4.95 5.37 5.56 6.04 6.29 7.37 7.09 8.06 7.24
"125" "Moldova" NA NA NA NA NA NA NA NA NA NA NA NA 20.56 14.94 11.05 8.99 9.4 8.88 8.02 6.06 5.89 5.82 6.34 6.95 6.55 7.08 7.49 7.18 7.36 7.05
"126" "Ethiopia" 1.7 1.7 1.89 2.17 2.11 2.53 2.56 2.89 2.75 2.98 3.01 2.46 3.64 3.33 2.19 2.38 1.71 1.71 2.61 3.25 3.46 3.55 3.89 4.19 4.35 4.58 5.16 5.71 6.42 6.88
"127" "Costa Rica" 2.27 2.26 2.12 2.25 1.97 2.09 1.99 2.32 2.72 2.89 2.74 2.89 3.64 3.98 4.03 4.72 4.47 4.48 5 5.14 5.01 5.22 5.39 5.95 5.72 5.65 6.64 7.23 7.14 6.83
"128" "Tanzania" 1.92 2.22 2.18 1.92 2.1 2.13 2.69 2.4 2.54 2.52 2.81 2.33 2.58 2.77 2.53 2.46 2.5 2.45 2.51 2.7 2.72 3.08 3.5 3.67 4.2 5.07 5.47 5.91 6.25 6.69
"129" "Cote dIvoire (IvoryCoast)" 4.01 4.25 3.93 4.25 4.14 4.28 4.8 5.34 5.65 5.62 4.65 3.8 3.86 4.38 4.56 4.54 5.73 5.23 5.41 7.03 7.36 5.86 5.8 5.79 6.35 6.37 6.27 6.28 6.49 6.63
"130" "Congo" 0.72 0.87 0.73 0.61 0.61 0.91 0.81 1.01 0.79 0.9 1.14 0.86 0.85 3.14 3.12 3.1 3.08 3.71 3.67 3.17 3.01 3.2 2.99 3.07 3.07 5.4 5.56 5.68 6.09 6.32
"131" "Senegal" 2.49 2.41 2.46 2.35 2.8 2.75 2.88 2.94 2.52 2.61 2.56 2.36 2.92 2.93 3.58 3.86 3.94 3.58 3.79 4.18 4.43 4.41 4.46 4.5 5.3 5.71 5.9 6.09 6.14 6.25
"132" "Tajikistan" NA NA NA NA NA NA NA NA NA NA NA NA 7.96 5.22 5.07 3.6 4.71 4.77 5.12 5.54 5.95 6.18 6.06 6.67 7.11 7.5 7.48 7.56 6.84 6.13
"133" "El Salvador" 1.99 1.73 1.65 1.83 1.85 1.94 2.19 2.16 2.32 2.23 2.39 2.75 3.22 3.23 3.62 4.65 4.39 4.68 5.48 5.48 5.51 5.7 5.77 6.08 6.02 6.21 6.23 6.3 5.91 5.91
"134" "Kyrgyzstan" NA NA NA NA NA NA NA NA NA NA NA NA 14.03 10.42 8.43 5.54 7.07 7.23 7.74 7.45 7.21 6.52 5.78 5.21 5.87 5.52 5.44 5.57 5.67 5.65
"135" "Georgia" NA NA NA NA NA NA NA NA NA NA NA NA 15.49 7.74 4.99 5.42 5.68 5.93 5.96 4.82 4.63 4.05 4.5 3.74 4.12 4.78 4.82 5.62 5.6 5.32
"136" "Bahamas" 3.99 4.27 3.62 2.71 2.46 2.23 2.41 2.67 2.45 2.81 2.99 2.58 2.22 2.32 2.68 3.18 3.58 3.54 4.04 3.62 3.5 3.42 3.42 4.19 4.25 4.91 4.9 4.67 5.09 5.25
"137" "Papua New Guinea" 1.72 1.72 1.72 1.72 1.95 2.05 2.29 2.54 2.38 2.43 2.46 2.44 2.58 2.6 2.49 2.62 2.68 2.68 2.58 2.58 2.6 2.6 3.69 4.27 4.31 4.24 4.3 4.28 4.5 4.81
"138" "Albania" 8.86 8.87 8.83 9.09 9.23 9.31 9.31 8.81 9.16 8.21 6.07 4.39 3.78 2.82 2.26 2.34 1.97 1.92 2.3 2.95 3.26 3.57 3.76 4.22 4.35 4.62 4.55 4.46 4.45 4.62
"139" "Equatorial Guinea" 0.06 0.06 0.07 0.07 0.07 0.08 0.08 0.08 0.08 0.12 0.12 0.13 0.12 1.06 1.06 1.06 1.56 1.6 1.68 1.84 2.05 2.05 3.94 4.91 3.81 4.89 4.9 4.64 4.71 4.61
"140" "Gabon" 4.78 4.99 4.86 4.78 5.25 5.34 4 3.87 4.17 5.71 5.72 5.73 6.06 5.95 5.79 5.49 5.56 5.63 5.54 5.4 5.07 4.95 4.71 4.89 4.93 4.94 4.47 4.49 4.72 4.57
"141" "Mauritius" 0.85 0.77 0.74 0.84 0.87 0.89 1.23 1 1.43 1.71 1.92 1.9 2.13 2.3 2.24 2.43 2.41 2.41 2.57 2.67 3.49 4.05 3.6 3.71 3.95 4.1 4.44 4.56 4.6 4.55
"142" "Botswana" 1.25 1.27 1.2 1.15 1.17 1.5 1.63 1.91 2.04 2.32 2.71 2.78 3.2 3.15 3.18 3.48 3.07 3.18 3.71 3.7 4.38 3.78 3.83 3.51 3.99 4.29 4.27 4.1 4.2 4.52
"143" "Nicaragua" 1.84 1.91 1.91 1.82 1.74 1.97 2.1 2.09 2.12 2.1 2.01 1.93 2.35 2.3 2.52 2.78 2.93 3.02 3.47 3.74 3.7 3.94 4.05 4.11 4.42 4.6 4.76 4.82 4.6 4.47
"144" "Gibraltar" 0.49 0.55 0.49 0.39 0.36 0.82 1.44 1.45 1.88 1.61 1.67 1.72 3.09 3.21 3.23 3.24 3.25 3.24 3.72 3.25 7.3 3.97 4.03 4.14 4.28 4.38 4.48 4.62 4.55 4.38
"145" "Namibia" NA NA NA NA NA NA NA NA NA NA 2.38 1.23 1.12 1.34 1.29 1.29 1.35 1.42 1.56 1.72 1.81 2.17 2.22 2.44 2.57 2.62 2.92 3.09 3.92 4.06
"146" "Paraguay" 1.39 1.27 1.25 1.32 1.44 1.46 1.52 1.93 1.72 2.31 2.2 2.02 2.33 2.47 2.9 3.34 2.7 2.96 3.37 3.81 3.56 3.45 3.6 3.73 3.75 3.69 3.68 3.73 3.83 3.97
"147" "Cambodia" 0.04 0.04 0.04 0.36 0.4 0.41 0.45 0.45 0.47 0.47 0.47 0.48 0.5 0.5 0.51 1.41 1.55 1.86 2.12 2.13 2.15 2.54 2.75 3.01 3.35 3.57 3.86 4.14 4.11 3.86
"148" "Benin" 0.42 0.42 0.28 0.42 0.42 0.5 0.5 0.38 0.47 0.5 0.59 0.67 0.77 0.84 0.88 0.96 1.04 1.13 1.22 1.32 1.65 1.65 1.75 2.06 2.4 2.53 3.01 3.26 3.33 3.47
"149" "Nepal" 0.48 0.38 0.53 0.53 0.68 0.55 0.69 0.82 0.81 0.81 0.63 0.93 1.11 1.04 1.31 1.4 1.67 1.92 2.8 3.18 3.1 3.25 2.66 2.8 2.79 3.22 3.17 3.18 3.31 3.44
"150" "Iceland" 1.65 1.56 1.56 1.62 1.69 1.84 1.96 2.04 2.12 2.26 2.36 2.22 2.32 2.45 2.55 2.48 2.79 2.83 3.01 2.98 3.17 3.04 3.17 3.19 3.32 3.32 3.41 3.85 3.68 3.41
"151" "Palestine" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.41 0.5 0.54 0.63 1.25 1.04 1.18 2.1 2.65 2.89 2.96 3.08 3.21
"152" "Madagascar" 1.17 1.01 0.88 1.14 1.14 1.24 0.91 1.27 1.39 0.99 0.96 0.98 1.07 1.1 1.25 1.29 1.28 1.3 1.3 1.29 1.81 1.98 2.3 2.38 2.63 2.51 2.49 2.48 2.77 3.15
"153" "Malta" 1.26 1.38 1.5 1.11 1.58 1.37 1.62 1.81 2.07 2.26 2.37 2.39 2.37 2.77 2.75 2.51 2.61 2.79 2.9 3.31 2.91 2.47 2.94 2.92 2.98 3.08 2.94 3.13 3.2 3.12
"154" "New Caledonia" 1.72 1.63 1.15 1.06 1.23 1.28 1.38 1.49 1.44 1.63 1.56 1.7 1.77 1.77 1.72 1.72 1.82 1.67 1.7 1.68 2 2.01 2.29 2.38 2.55 2.48 2.96 3.03 3.04 3.04
"155" "Togo" 0.58 0.54 0.52 0.57 0.67 0.63 0.54 0.49 0.52 0.59 0.58 1.03 0.72 0.54 0.63 0.62 0.63 0.66 0.66 1 1.4 1 1.29 2.15 2.27 2.27 2.33 2.51 2.7 2.85
"156" "Reunion" 0.6 0.6 0.64 0.75 0.83 0.81 0.79 0.88 1.07 1.17 1.23 1.43 1.4 1.85 1.89 1.86 1.87 1.88 2.41 2.41 2.51 2.61 2.59 2.59 2.64 2.72 2.74 2.78 2.82 2.82
"157" "Mauritania" 0.61 0.58 0.59 0.58 0.87 0.86 0.52 0.71 0.89 1.07 0.96 1.01 3.31 3.43 3.4 3.13 3.47 3.17 3.18 3.18 3.24 3.18 3.06 3.15 2.63 3.16 2.83 2.57 2.61 2.75
"158" "Zambia" 3.63 3.22 3.39 3.03 3.01 2.86 3.08 2.97 3.27 2.98 2.73 2.44 2.98 2.43 1.95 1.93 2.19 2.38 2.22 1.96 1.9 2.06 2.13 2.23 2.24 2.44 2.31 2.25 2.25 2.67
"159" "Congo, Dem Rep" 3.4 3.59 3.69 3.65 3.41 3.32 3.84 3.46 4.24 3.94 3.64 3.85 4.35 4.56 3.58 3.83 3.86 3.71 3.55 3.19 2.7 1.99 1.79 1.83 2.37 2.46 2.45 2.75 2.72 2.65
"160" "Martinique" 0.63 0.63 0.63 0.62 0.55 0.67 0.76 0.86 1.03 1.46 1.57 1.3 1.47 2.01 1.98 2.02 2.02 2.02 2.02 2.02 2.06 2.06 2.08 2.17 2.24 2.36 2.38 2.47 2.46 2.61
"161" "Macau" 0.47 0.44 0.47 0.66 0.73 0.59 0.9 1 0.99 1.06 1.09 1.08 1.13 1.25 1.33 1.29 1.48 1.5 1.62 1.73 1.58 1.66 1.84 1.9 2.32 1.98 2.3 2.32 2.41 2.44
"162" "Mozambique" 2.62 2.34 2.48 2.33 2.05 2.17 1.25 1.18 1.68 1.33 1.19 1.19 1.19 1.18 1.13 1.22 1.07 1.11 1.26 1.3 1.29 1.5 1.68 1.82 2.13 2.37 2.79 2.34 2.24 2.35
"163" "Guadeloupe" 0.49 0.69 0.87 0.92 1.01 0.93 0.94 1.09 1.2 1.33 1.44 1.51 1.39 1.62 1.67 1.71 1.7 1.72 1.72 1.72 1.81 1.83 1.87 1.94 2 2.08 2.19 2.42 2.3 2.18
"164" "Haiti" 0.85 0.57 0.8 0.72 0.73 0.84 0.81 1.29 1.42 1.25 0.74 0.79 0.88 0.62 0.54 0.94 1.11 1.44 1.34 1.48 1.52 1.65 1.71 1.7 1.75 1.76 1.8 1.98 2 2.06
"165" "Suriname" 2.09 1.81 1.61 1.17 0.98 1.24 1.32 1.16 1.11 1.19 1.51 1.49 1.44 1.5 1.49 1.51 1.5 1.52 1.54 1.54 1.61 1.7 1.79 1.83 1.91 1.97 2.03 2 1.96 2.04
"166" "Uganda" 0.7 0.45 0.53 0.52 0.53 0.57 0.67 0.56 0.85 0.79 0.84 0.94 0.97 1 1.03 1.03 1.02 1.05 1.22 1.22 1.26 1.39 1.46 1.59 1.61 1.69 1.92 2.07 1.99 1.93
"167" "Fiji" 1.31 0.88 1.02 1.02 0.76 0.78 1 0.78 0.81 0.96 1.05 0.86 0.89 0.95 1 1.07 1.11 1.11 1.07 1.18 1.44 1.53 1.76 2.28 2.67 2.55 2.3 2.19 2.06 1.93
"168" "Montenegro" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.54 1.71 1.81 1.88
"169" "Djibouti" 1.46 1.17 1.18 0.87 0.72 0.72 0.72 0.73 0.71 1.72 1.73 1.75 1.78 1.8 1.82 1.81 1.82 1.84 1.83 1.83 1.85 1.87 1.87 1.91 1.94 1.92 1.68 1.64 1.7 1.76
"170" "Guam" 3.54 5 3.84 3.67 1.27 0.63 1.1 0.77 0.8 0.74 1.84 2.08 2.51 3.35 4.76 3.61 3.21 3.66 3.05 3.42 2.87 3.06 2.1 2.43 1.96 2.06 2.26 2.05 1.77 1.71
"171" "Guyana" 1.42 1.64 1.32 1.17 1.34 1.35 1.4 1.06 1.05 0.7 0.67 0.79 0.88 1.15 1.15 0.97 1.04 1.13 1.44 1.53 1.69 1.73 1.76 1.71 1.54 1.69 1.6 1.59 1.51 1.51
"172" "Burkina Faso" 0.42 0.42 0.42 0.42 0.42 0.4 0.49 0.52 0.51 0.47 0.5 0.58 0.58 0.63 0.69 0.68 0.71 1.08 1.07 1.07 1.06 1.07 1.1 1.14 1.16 1.05 1.25 1.4 1.4 1.43
"173" "Seychelles" 0.21 0.17 0.15 0.27 0.28 0.29 0.32 0.34 0.46 0.49 0.45 0.49 0.51 0.52 0.52 0.53 0.53 0.57 0.57 0.57 0.59 0.6 0.88 0.87 0.9 0.88 1.2 1.28 1.34 1.42
"174" "Barbados" 0.97 1.03 1.02 1.08 1.04 1.15 1.3 1.22 1.16 1.25 1.3 1.31 1.35 1.36 1.27 1.34 1.05 1.44 1.48 1.51 1.71 1.65 1.65 1.68 1.16 1.53 1.49 1.33 1.44 1.39
"175" "Swaziland" 0.73 0.68 0.68 0.53 0.59 0.73 0.71 0.73 0.74 0.76 0.76 0.71 0.65 0.58 0.83 0.91 0.82 0.85 0.97 1.13 1.16 1.15 1.58 1.37 1.45 0.95 1.08 1.19 1.18 1.38
"176" "Niger" 0.61 0.63 0.68 0.75 0.81 0.81 0.69 0.78 1.02 1.07 1.09 1.1 1.12 1.14 1.16 1.16 1.15 1.13 1.13 1.13 1.12 1.15 1.23 1.26 1.29 1.25 1.25 1.25 1.29 1.34
"177" "Guinea" 0.81 0.8 0.81 0.82 0.83 0.74 1.06 1.12 1.14 1.11 1.48 1.16 1.18 1.21 1.24 1.23 1.25 1.25 1.25 1.25 1.3 1.31 1.32 1.33 1.35 1.38 1.37 1.35 1.35 1.33
"178" "Malawi" 0.58 0.61 0.55 0.44 0.42 0.45 0.48 0.44 0.41 0.5 0.53 0.65 0.66 0.64 0.71 0.73 0.74 0.74 0.75 0.89 0.94 0.94 0.97 0.92 1.07 1.13 1.15 1.2 1.26 1.31
"179" "Sierra Leone" 0.71 0.71 0.78 0.71 0.71 0.8 0.91 0.98 1.03 1.06 1.07 1.11 0.81 0.82 0.68 0.84 0.84 0.86 0.87 0.87 0.92 0.94 0.95 0.97 1.16 1.16 1.15 1.23 1.24 1.31
"180" "Laos" 0.41 0.16 0.15 0.16 0.15 0.17 0.21 0.21 0.2 0.23 0.22 0.24 0.27 0.27 0.29 0.3 0.52 0.74 0.87 0.88 0.93 1.02 1.08 1.12 1.14 1.18 1.2 1.21 1.23 1.24
"181" "Wake Island" 1.24 1.23 1.23 1.23 1.24 1.22 1.28 1.28 1.27 1.27 1.24 1.24 1.27 1.27 1.27 1.29 1.29 1.3 1.3 1.3 1.31 1.31 1.33 1.33 1.33 1.32 1.27 1.31 1.28 1.23
"182" "French Guiana" 0.35 0.3 0.38 0.39 0.31 0.31 0.38 0.43 0.51 0.58 0.68 0.77 0.63 0.87 0.87 0.97 0.97 0.97 0.98 0.98 1 1 1.02 1.07 1.04 1.06 1.12 1.08 1.06 1.12
"183" "Aruba" NA NA NA NA NA NA 0.11 0.11 0.42 0.56 0.59 0.63 0.69 0.7 0.75 0.87 0.57 0.91 0.92 0.92 0.96 0.96 0.96 1.02 1.03 1.05 1.13 1.03 1.05 1.09
"184" "French Polynesia" 0.21 0.31 0.42 0.55 0.84 0.73 0.96 0.99 0.98 0.98 0.92 0.91 0.87 0.85 0.69 0.71 0.71 0.71 0.71 0.71 0.68 0.68 0.69 0.86 0.86 0.92 1.02 1.01 0.99 1.07
"185" "Belize" 0.23 0.21 0.19 0.19 0.21 0.21 0.26 0.21 0.15 0.22 0.31 0.35 0.3 0.3 0.28 0.33 0.27 0.44 0.44 0.45 0.66 0.86 0.81 0.85 0.91 0.97 0.97 0.98 0.99 0.94
"186" "Maldives" 0.01 0.01 0.01 0.01 0.06 0.06 0.08 0.08 0.09 0.09 0.1 0.1 0.1 0.12 0.24 0.34 0.36 0.31 0.34 0.34 0.48 0.52 0.95 1.07 0.75 0.6 0.83 0.93 0.89 0.92
"187" "Somalia" 1.12 1.29 1.27 1.24 1.29 1.27 1.44 1.07 1.07 1.1 1.01 0.6 0.57 0.58 0.58 0.58 0.58 0.58 0.58 0.58 0.72 0.72 0.72 0.72 0.73 0.73 0.76 0.86 0.87 0.9
"188" "Afghanistan" 1.36 1.56 1.7 2.11 2.13 2.17 2.4 3.95 6.54 6.42 6.32 2.98 1.77 1.72 1.68 1.45 1.47 1.43 1.39 1.41 1.34 0.85 0.85 0.68 0.72 0.77 0.76 0.82 0.85 0.83
"189" "Faroe Islands" NA NA NA NA NA NA NA NA NA NA NA NA 0.61 0.61 0.62 0.65 0.67 0.67 0.66 0.66 0.67 0.67 0.67 0.68 0.69 0.69 0.79 0.76 0.75 0.8
"190" "Eritrea" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.99 1.07 1.11 1.14 1.25 1.06 0.64 0.75 0.72 0.81 0.76 0.72 0.74 0.69 0.72 0.77
"191" "Mali" 0.42 0.56 0.42 0.42 0.42 0.46 0.36 0.43 0.21 0.47 0.47 0.48 0.5 0.51 0.52 0.52 0.54 0.54 0.55 0.55 0.57 0.57 0.62 0.63 0.65 0.72 0.65 0.67 0.7 0.74
"192" "Rwanda" 0.15 0.35 0.34 0.39 0.63 0.67 0.64 0.65 0.62 0.68 0.7 0.71 0.74 0.68 0.7 0.71 0.71 0.7 0.73 0.73 0.77 0.77 0.78 0.79 0.76 0.81 0.83 0.76 0.74 0.74
"193" "Bermuda" 0.53 0.46 0.49 0.52 0.5 0.5 0.5 0.71 0.77 0.94 0.66 0.55 0.45 0.52 0.51 0.51 0.52 0.52 0.52 0.52 0.52 0.52 0.52 0.56 0.61 0.65 0.64 0.69 0.69 0.71
"194" "Antigua and Barbuda" 0.41 0.36 0.49 0.29 0.32 0.31 0.32 0.39 0.4 0.4 0.42 0.41 0.42 0.44 0.46 0.48 0.48 0.49 0.49 0.49 0.51 0.51 0.51 0.55 0.59 0.65 0.65 0.63 0.66 0.69
"195" "Liberia" 1.89 1.74 1.74 1.74 1.57 1.58 1.28 0.99 1.12 0.99 0.58 0.34 0.35 0.38 0.38 0.38 0.4 0.4 0.41 0.41 0.44 0.47 0.5 0.52 0.53 0.54 0.61 0.67 0.68 0.69
"196" "American Samoa" 0.4 0.46 0.64 0.4 0.46 0.43 0.48 0.49 0.49 0.56 0.58 0.58 0.6 0.6 0.58 0.57 0.58 0.58 0.58 0.58 0.56 0.56 0.57 0.57 0.57 0.61 0.6 0.65 0.65 0.67
"197" "Timor-Leste (East Timor)" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.29 0.3 0.31 0.31 0.56 0.58 0.63
"198" "Greenland" NA NA NA NA NA NA NA NA NA NA NA NA 0.5 0.52 0.52 0.52 0.53 0.54 0.55 0.55 0.56 0.58 0.58 0.59 0.59 0.6 0.62 0.6 0.64 0.61
"199" "Guinea-Bissau" 0.08 0.08 0.08 0.08 0.11 0.12 0.1 0.19 0.21 0.22 0.28 0.29 0.29 0.31 0.32 0.32 0.32 0.32 0.32 0.32 0.36 0.36 0.37 0.38 0.38 0.4 0.39 0.4 0.46 0.46
"200" "Gambia" 0.15 0.15 0.15 0.15 0.17 0.16 0.16 0.19 0.19 0.19 0.19 0.2 0.2 0.22 0.24 0.22 0.22 0.22 0.24 0.24 0.26 0.28 0.29 0.29 0.3 0.31 0.32 0.4 0.38 0.44
"201" "Cayman Islands" 0.1 0.11 0.11 0.1 0.11 0.11 0.11 0.11 0.27 0.27 0.27 0.29 0.3 0.29 0.31 0.34 0.34 0.34 0.35 0.35 0.34 0.35 0.35 0.36 0.39 0.41 0.46 0.54 0.49 0.43
"202" "Saint Lucia" 0.11 0.09 0.11 0.1 0.1 0.12 0.12 0.13 0.17 0.17 0.17 0.17 0.18 0.17 0.19 0.2 0.2 0.21 0.21 0.21 0.33 0.35 0.35 0.39 0.37 0.38 0.38 0.39 0.41 0.41
"203" "Burundi" 0.1 0.11 0.1 0.11 0.14 0.15 0.15 0.16 0.24 0.27 0.29 0.33 0.32 0.35 0.37 0.36 0.37 0.37 0.38 0.38 0.37 0.4 0.4 0.42 0.38 0.37 0.36 0.33 0.35 0.37
"204" "Cape Verde" 0.3 0.3 0.13 0.13 0.16 0.16 0.05 0.06 0.08 0.09 0.1 0.1 0.11 0.11 0.12 0.11 0.12 0.12 0.12 0.12 0.17 0.14 0.14 0.14 0.3 0.25 0.29 0.34 0.32 0.34
"205" "Bhutan" 0.01 0.03 0.03 0.03 0.03 0.03 0.03 0.08 0.08 0.08 0.12 0.12 0.13 0.13 0.2 0.24 0.26 0.27 0.27 0.29 0.29 0.3 0.33 0.29 0.28 0.3 0.28 0.41 0.37 0.33
"206" "Western Sahara" 0.16 0.16 0.18 0.17 0.18 0.18 0.2 0.2 0.21 0.21 0.22 0.22 0.22 0.22 0.22 0.23 0.23 0.23 0.23 0.23 0.27 0.27 0.27 0.27 0.27 0.3 0.27 0.29 0.32 0.32
"207" "Antarctica" 0.14 0.14 0.15 0.14 0.18 0.2 0.2 0.2 0.21 0.21 0.21 0.22 0.22 0.22 0.22 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.24 0.24 0.25 0.25 0.24 0.26 0.31
"208" "Grenada" 0.05 0.05 0.06 0.06 0.06 0.06 0.07 0.07 0.08 0.08 0.12 0.12 0.13 0.14 0.16 0.15 0.17 0.21 0.19 0.19 0.12 0.2 0.23 0.24 0.24 0.25 0.26 0.26 0.28 0.3
"209" "Saint Kitts and Nevis" 0.05 0.05 0.06 0.05 0.05 0.05 0.05 0.06 0.07 0.07 0.07 0.08 0.08 0.09 0.1 0.09 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.12 0.13 0.14 0.18 0.26 0.27 0.3
